Time,Tweets,All_hashtags,Place
2020-07-01 15:59:32,"b'Consultant - Covid-19-Compliant Health and Wellness Centre - Andhra Pradesh: UNICEF, India https://t.co/Da2RsYKYUN'",[],
2020-07-01 08:20:57,b'India to face about 3 lakh child deaths due to COVID-19 and lockdown: UNICEF https://t.co/EZOEVAOP6J',[],
2020-07-01 04:19:04,"b'@cruxthing Right now mortality because of created corona scare, resulting  into failure of all other medical services is way beyond either of the two https://t.co/aejJDNkDtc https://t.co/xhKB6ZQwao Not due to corona virus directly but its effects on socio-economic effect'",[],
2020-06-30 17:34:30,b'Radio Salesian (90.8 FM) run by the Salesians of Don Bosco in India and Salesian College Sonada has been selected as a partner in raising awareness about COVID-19 in a national project sponsored by UNICEF. #India #WeAreDonBosco #Salesian #covid19 #coronavirus',"['India', 'WeAreDonBosco', 'Salesian', 'covid19', 'coronavirus']",
2020-06-28 16:44:04,b'@IndiaAspa @PMOIndia @narendramodi @DrRPNishank @HRDMinistry @KanoongoPriyank @myogiadityanath @CMOfficeUP @WHO @UNICEF @ZeeNews There is no use of requesting UP CM Yogi Adityanath as he is not at all concern about the children health &amp; safety as most of the school have investment from UP Gov.officials. India is in top 4 Covid cases &amp; he is planning to open schools. Ridiculous https://t.co/r3xqmFNTdK',[],
2020-06-28 09:54:37,"b'@PMOIndia @UNICEF @GTUoffice @ugc_india @AAPGujarat Respected sir/firms/universities, every student who are request you for save their lives, in this COVID-19 pandemic are like one of your child. Some where you every one know that this is wrong #MeritBasedPromotionGTU'",['MeritBasedPromotionGTU'],
2020-06-28 09:31:51,"b'@PMOIndia @imBhupendrasinh @UNICEF @DrRPNishank @GTUoffice @ugc_india @vijayrupanibjp   Respected sir/firms/universities, every student who are request you for save their lives, in this COVID-19 pandemic are like one of your child. Some where you every one know that this is wrong'",[],
2020-06-28 02:36:12,b'This bad news is another reason for all in #SouthAsia to listen to Afghanistan on #cooperation against confrontation.  @UNICEF: 120 million children living in South Asian countries could slip into poverty within 6 months due to #COVID19.  @MHaneefAtmar https://t.co/dKVBJSQWLg',"['SouthAsia', 'cooperation', 'COVID19']",
2020-06-28 02:30:00,"b'The COVID-19 #pandemic is unraveling decades of #health, #education &amp; other advances for #children across #SouthAsia, &amp; govts must take urgent action to prevent millions of families from slipping back into #poverty, @UNICEF said in new report released on Wednesday @abhi_kaushik1 https://t.co/8bSUgGIxWv'","['pandemic', 'health', 'education', 'children', 'SouthAsia', 'poverty']",
2020-06-27 17:21:59,"b'Read MY STORY FOR @ANI  #COVID19: Gov intervened to stop 5,584 child marriage during #CoronavirusPandemic lockdown. https://t.co/WVd1FMbZoX  #COVID19Pandemic #childmarriage #UNICEF #Covid_19 #COVID19India @UNICEF @CHILDLINE1098 @UNICEFIndia'","['COVID19', 'CoronavirusPandemic', 'COVID19Pandemic', 'childmarriage', 'UNICEF', 'Covid_19', 'COVID19India']",
2020-06-27 10:30:00,"b'2.4 Million Children in Yemen Facing Hunger, Malnutrition Amid #COVID19Pandemic: @UNICEF https://t.co/AjqTl1ICPp  \xf0\x9f\x93\xb8 : Displaced Yemeni children pictured on the outskirts of Sanaa, Yemen, on Noember 23, 2019.   (Mohammed Mohammed/Xinhua/IANS) https://t.co/f6W8MltdWZ'",['COVID19Pandemic'],
2020-06-26 22:09:04,b'@ianrobo1 @BBCNews @UNICEF I know what they mean. The impact of Covid 19 on healthcare  in India is illustrated in this BBC report too. https://t.co/W16gkdxNwH',[],
2020-06-26 20:27:41,"b'COVID-19 Increases #Suffering of Children in #conflict - #UNICEF reports 250,000 cases of grave #violations in #armed #conflict #women and #Children are at a ""double disadvantage"". Organized violence increase in #Libya #Yemen #India #Mali #Uganda https://t.co/ETtAGc8wug'","['Suffering', 'conflict', 'UNICEF', 'violations', 'armed', 'conflict', 'women', 'Children', 'Libya', 'Yemen', 'India', 'Mali', 'Uganda']",
2020-06-26 18:49:10,"b'Radio Salesian, UNICEF to spread awareness on COVID-19 in the\xc2\xa0hills https://t.co/310i7rZc8e'",[],
2020-06-26 17:33:00,"b'Over 8,80,000 #children could die due to #Covid_19 related issues in next 12 months; most deaths likely in India: UNICEF report | India News,The Indian Express https://t.co/WfNxhGUUZD'","['children', 'Covid_19']",
2020-06-26 17:02:21,b'Kareena Kapoor Khan has launched UNICEF #ChildhoodChallenge campaign to help children impacted by COVID-19!  https://t.co/Ukc3KyqSlR https://t.co/NCO1hxoYtu',['ChildhoodChallenge'],
2020-06-26 11:59:51,"b'Unicef India C4D team  presents the India story of perseverance, grit, innovation ,  while working on gender and equity focussed risk communication and community engagement for COVID 19 at C 19 RCCE India presentation @UNICEFIndia @SBCCalliance @StephanieRais @sidbshrestha https://t.co/b9RTromDX5'",[],
2020-06-26 09:38:49,"b'Coronavirus (COVID-19) might push 120 mn children into poverty in South Asia, (Pakistan)  including India: UNICEF. https://t.co/q14ucOJVMg'",[],
2020-06-26 07:03:42,b'Kareena Kapoor Khan launches UNICEF #ChildhoodChallenge campaign to help children impacted by COVID-19 https://t.co/uszQsyYWXt',['ChildhoodChallenge'],"Place(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, id='317fcc4b21a604d5', url='https://api.twitter.com/1.1/geo/id/317fcc4b21a604d5.json', place_type='city', name='New Delhi', full_name='New Delhi, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, type='Polygon', coordinates=[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]), attributes={})"
2020-06-26 06:20:51,b'#KareenaKapoorKhan Shares Her Happiest Childhood Memories As A Part Of #ChildhoodChallenge And Extends Support To #UNICEFIndia For A Wonderful Cause (View Post)  @KareenaMania @UNICEFIndia @KareenaK_FC #Covid_19 @KareenaUpdates  https://t.co/XM6sWVIdpm',"['KareenaKapoorKhan', 'ChildhoodChallenge', 'UNICEFIndia', 'Covid_19']",
2020-06-26 05:51:49,"b'Apart from the immediate ongoing #covid impact, the longer-term impact of the economic crisis on children will be on a different scale entirely. Without urgent action now, COVID-19 could destroy the hopes &amp; futures of an entire generation of adolescents.  https://t.co/FKtogmSDil'",['covid'],
2020-06-26 02:55:53,"b'UNICEF: #covid19 #pandemic is ""unraveling decades of health, education and other advances for children across South Asia."" #health #education #development #humandevelopment #poverty #children #lockdown #India #Pakistan #SouthAsia  https://t.co/o0YFOla0j1'","['covid19', 'pandemic', 'health', 'education', 'development', 'humandevelopment', 'poverty', 'children', 'lockdown', 'India', 'Pakistan', 'SouthAsia']",
2020-06-26 02:06:21,"b'""With state health facilities focussed on mitigating the impact of the deadly virus, many children from poor and marginalised communities are no longer getting the treatment they need for other illnesses.""  https://t.co/kyCsGe4z04'",[],
2020-06-25 18:55:31,"b'@MinistryWCD @PMOIndia @amitabhk87 @dpradhanbjp @CMO_Odisha Over 8,80,000 children could die due to Covid-related issues in next 12 months; most deaths likely in India: UNICEF report | India News,The Indian Express https://t.co/vH1hBRZv5p'",[],
2020-06-25 16:50:01,"b'Alarming, distressing and calling for urgent action on behalf of governments and people report by @UNICEF.  Children need our collective support, help and protection to survive the multi pronged Covid-19 assault. @MinistryWCD @smritiirani  https://t.co/SxH7YiXEt9'",[],
2020-06-25 16:18:35,"b'Over 8,80,000 children could die due to Covid-related issues in next 12 months; most deaths likely in India: UNICEF report. This is serious issue if it would be true. https://t.co/tXZdGVd7ls'",[],
2020-06-25 13:41:05,"b'A study conducted by the Johns Hopkins , the report warned that as many as 8,81,000 children\xe2\x80\x93 aged five and under\xe2\x80\x93 could die over the next twelve months. A bulk of these deaths are likely to occur in India and Pakistan. @neelmani1305 @oommen @mishrapreetu https://t.co/sUtpO3r2Tf'",[],
2020-06-25 12:53:17,"b'The report warned that as many as 8,81,000 children\xe2\x80\x93 aged five and under\xe2\x80\x93 could die over the next twelve months. A bulk of these deaths are likely to occur in India and Pakistan.   https://t.co/PzUsN5jLBT'",[],
2020-06-25 12:25:00,b'Click here to view the entire report - https://t.co/YpuoPywUBH @Pratham_India @prathamusa',[],
2020-06-25 12:15:42,"b'Over 8,80,000 children could die due to Covid-related issues in next 12 months; most deaths likely in India: UNICEF report |  Wondering why \xe2\x81\xa6@HRDMinistry\xe2\x81\xa9 is silent on issues related to #Education and #School Management ?   https://t.co/CpOdfi4Rby'","['Education', 'School']",
2020-06-25 12:05:21,"b'#UNICEF report, titled \xe2\x80\x98Lives Upended: How #COVID19 threatens the futures of 600 million South Asian Children\xe2\x80\x99, stated that children in India, Pakistan are more likely to succumb to established illnesses.  https://t.co/lsE8OXBwXp'","['UNICEF', 'COVID19']",
2020-06-25 12:02:09,"b'Still Rajasthan Govt trying to take exams... #RajasthanNoExamInCovid Over 8,80,000 children could die due to Covid-related issues in next 12 months; most deaths likely in India: UNICEF report https://t.co/HS38SsuX5E via Dailyhunt  Download Now https://t.co/XnrkJCwAL0'",['RajasthanNoExamInCovid'],
2020-06-25 11:56:29,"b'Over 8,80,000 children could die due to #COVID19 related issues in next 12 months;most deaths likely in #India. #UNICEF report  @ashokgehlot51 @rajeduofficial @Nsui__Rajasthan @NSUI_RU @YouthOfRU @youth_of_uniraj @Rajasthan_PYC  #RajasthanNoExamsInCovid \xf0\x9f\x94\x83 https://t.co/60TSKQ2WM0'","['COVID19', 'India', 'UNICEF', 'RajasthanNoExamsInCovid']",
2020-06-25 11:27:51,"b'Over 8,80,000 children could die due to Covid-related issues in next 12 months; most deaths likely in India: UNICEF report https://t.co/Q6K3oYL90z via @IndianExpress #coronavirusindia #CoronaVirus #Covid19 #pandemic #InfectiousDisease #CoronaVirusUpdate #children #unicef'","['coronavirusindia', 'CoronaVirus', 'Covid19', 'pandemic', 'InfectiousDisease', 'CoronaVirusUpdate', 'children', 'unicef']",
2020-06-25 09:32:06,"b'@Ach_Balkrishna @moayush @yogrishiramdev @MoHFW_INDIA @ani_digital @AHindinews @BBCHindi @PTI_News @tijarawala @ABPNews @ZeeNews @aajtak @News18India Will @moayush takes against them, for playing with Citizens lives. No scientifically verified, then how can they allowed to promote/sell drugs for covid-19. Still no action taken against them under epidemic act. @drharshvardhan @ICMRDELHI @WHO @UN @UNICEF @UNICEFIndia'",[],
2020-06-25 08:56:23,"b'@RedR_India in association with @NSEIndia Foundation and @UNICEF Maharashtra, invites the members of Giants Group for Online Training on COVID-19 Response and Monsoon Preparedness in Urban Slums in Mumbai.   To register please click the link: https://t.co/LOtuKnjg9b'",[],
2020-06-25 08:48:34,"b""@ImranKhanPTI @AmitShah @PMOIndia @PakPMO @UNICEF_Pakistan   https://t.co/zjU0q42Z8U Look at the bitter truth about Pakistan and U want to help India... use the cash to fill ur hospitals with beds and save your people lives... India will manage, hope u won't disappear from world's map""",[],
2020-06-25 08:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF......  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJY6usG',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-25 05:32:09,"b'Webinar: COVID-19 RCCE approaches, The India Experience  Link to join the webinar: https://t.co/t1SEL1Z9BG Password: 678659 https://t.co/rN6rbCzhxR'",[],
2020-06-25 05:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF.....  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJY6usG',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-25 02:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF....  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJXOTB8',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 23:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF...  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJXOTB8',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 20:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF.  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJY6usG',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 17:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF..  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJXOTB8',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 16:49:10,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJY6usG',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 15:03:35,b'Do you know what UNICEF is telling us?  By @ShantanuGuhaRay  https://t.co/zB4RkvZIuj  @UNICEFIndia @UNICEF @UN @DrYasminAHaque @MoHFW_INDIA  #Malnutrition #Covid_19 #coronavirus',"['Malnutrition', 'Covid_19', 'coronavirus']",
2020-06-24 14:22:09,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/jBDe7Gos7P',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 11:38:58,"b'Future Of 247 Million Kids In #India Threatened By #COVID19, Warns @UNICEF  Read Here: https://t.co/3zz8v6a1wV'","['India', 'COVID19']",
2020-06-24 11:06:55,b'#COVID19  lockdown in India has impacted education of over 247 million school children:@UNICEFIndia Report. Read more: https://t.co/pgHfwJDL8s @anuragbatrayo  @tanvieahuja @priyasaraf999',['COVID19'],
2020-06-24 10:49:13,"b'The COVID-19 #pandemic is unraveling decades of #health, #education &amp; other advances for #children across #SouthAsia, &amp; govts must take urgent action to prevent millions of families from slipping back into #poverty, @UNICEF said in new report released on Wednesday @abhi_kaushik1 https://t.co/ZoxiDSAJxz'","['pandemic', 'health', 'education', 'children', 'SouthAsia', 'poverty']",
2020-06-24 10:30:00,b'COVID-19 lockdown in India has impacted education of over 247 million school children: UNICEF report https://t.co/vgZoiHYC8j   #VivaEducation #COVID19  #Lockdown #SchoolEducation',"['VivaEducation', 'COVID19', 'Lockdown', 'SchoolEducation']",
2020-06-24 09:49:28,b'A report prepared by #UNICEF has revealed that #COVID-19 pandemic in #India and #lockdown has impacted #247million children',"['UNICEF', 'COVID', 'India', 'lockdown', '247million']",
2020-06-24 08:56:08,b'COVID-19 Lockdown In India Has Impacted Education Of Over 247 Million School Children UNICEF Report https://t.co/p6rv8XBRF6 via @ndtv',[],
2020-06-24 08:23:54,"b'The @UNICEF report also says that an estimated 240 million children already live in \xe2\x80\x9cmulti-dimensional\xe2\x80\x9d poverty including factors such as poor health, lack of education, poor sanitation and poor quality of work in these countries. #COVID__19  @htTweets  https://t.co/qQiu1j6jNz'",['COVID__19'],
2020-06-24 08:19:13,b'COVID-19 Lockdown In India Has Impacted Education Of Over 247 Million School Children: UNICEF Report https://t.co/gVkiD4ryJx',[],
2020-06-24 08:12:19,"b'Coronavirus | Covid-19 might push 120 mn children into poverty in South Asia, including India: UNICEF \xe2\x80\x93\xc2\xa0health https://t.co/WXegwbiBWK'",[],
2020-06-24 07:56:07,"b'Coronavirus | Covid-19 might push 120 mn children into poverty in South Asia, including India: UNICEF https://t.co/08bGC5GFFv'",[],
2020-06-24 07:10:26,b'The @UNICEF report revealed that #COVID__19 pandemic in India and #lockdown has impacted 28 million children in addition to the 247 million who were undergoing pre-school education in #Anganwadi centres.  @htTweets  https://t.co/grBLqu1iCg',"['COVID__19', 'lockdown', 'Anganwadi']",
2020-06-24 06:04:29,"b'#COVID19 has the potential to disrupt services critical to children\xe2\x80\x99s welfare and well-being in #SouthAsia, including India, says #UNICEF   #CoronavirusIndia #coronavirus  https://t.co/cbt1norSna'","['COVID19', 'SouthAsia', 'UNICEF', 'CoronavirusIndia', 'coronavirus']",
2020-06-24 05:43:59,b'https://t.co/MHMszJrYh9 Lockdown has hurt education of 247 mn school kids in India: UNICEF report #lockdown #educational #schools #lockdown2020 #Covid_19 #UNICEF',"['lockdown', 'educational', 'schools', 'lockdown2020', 'Covid_19', 'UNICEF']","Place(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, id='7929cea6bd5b32bd', url='https://api.twitter.com/1.1/geo/id/7929cea6bd5b32bd.json', place_type='city', name='Mumbai', full_name='Mumbai, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, type='Polygon', coordinates=[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]), attributes={})"
2020-06-24 05:37:19,b'COVID-19 lockdown in India has impacted education of over 247 million school children : UNICEF report (ANI) https://t.co/4YFl08PYWk',[],
2020-06-24 05:27:23,b'COVID-19 lockdown in India has impacted education of over 247 million school children: UNICEF report  Read @ANI Story | https://t.co/TW9eJ9kh5a https://t.co/ApeTSrjk1G',[],
2020-06-24 04:58:16,"b'As per a UNICEF report, an additional 120 million children in South Asia , including India, can slip into poverty within the next six months due to #COVID19 pendamic.  #IndiaFightsCoronavirus   https://t.co/rlK6VPt7Ze'","['COVID19', 'IndiaFightsCoronavirus']",
2020-06-24 04:51:28,"b'An estimated 120 million youngsters dwelling in South Asian nations, together with India, might slip into poverty https://t.co/19iZl8fhjy'",[],
2020-06-24 04:47:44,"b'Religious &amp; spiritual leaders discussed how to face the challenges of stigma/discrimination during COVID-19.   Webinar organised by Sphere India in partnership with UNICEF, WHO, Spandan, USAID and World Vision India  All Klear! \xf0\x9f\x91\x8d  https://t.co/k8j7ZJixKs'",[],
2020-06-24 03:17:39,"b'In the worst-case scenario, South Asia could see the additional deaths of as many as 881,000 children aged 5 or under and that of 36,000 mothers over the next twelve months: #UNICEF report #CoronavirusPandemic https://t.co/Rt2XW2HsKP'","['UNICEF', 'CoronavirusPandemic']",
2020-06-24 02:36:58,"b'COVID-19 might push 120 mn children into poverty in #SouthAsia, including #India: @UNICEF | India News,The Indian Express #Coronavirus #Covid19  https://t.co/mvltgnPeDX'","['SouthAsia', 'India', 'Coronavirus', 'Covid19']",
2020-06-23 21:28:28,b'Covid-19 lockdown in India has impacted education of over 247 million school children.   (Source: UNICEF report)',[],
2020-06-23 19:55:07,b'COVID-19 lockdown in India has impacted education of over 247 million school children: UNICEF report  Read @ANI Story | https://t.co/cD66fjgf8E https://t.co/ZwJDvsT1Qp',[],
2020-06-23 15:45:00,"b'An estimated 120 million children living in #SouthAsian countries, including #India, could slip into #poverty within the next six months due to the #COVID19 crisis, according to a new #UNICEF report. https://t.co/ENvRig06dY'","['SouthAsian', 'India', 'poverty', 'COVID19', 'UNICEF']",
2020-06-23 15:32:00,"b'An estimated 120 million children living in South Asian countries, including India, could slip into poverty within the next six months due to Covid-19  #COVID19 #UNICEF #poverty  https://t.co/26vz0PbasA'","['COVID19', 'UNICEF', 'poverty']",
2020-06-23 15:30:00,"b'COVID-19 might push 120 mn children into poverty in South Asia, including India: UNICEF https://t.co/n8nIIQVF4a'",[],
2020-06-23 15:13:12,"b'COVID-19 might push 120 mn children into poverty in South Asia, including India: UNICEF - https://t.co/6IsYCJgdBh'",[],
2020-06-23 15:07:18,b'120 mn children may slip into poverty in South Asia within next 6 months: Unicef https://t.co/9uekUBaee3   #Corona  #COVID__19 #Pandemic',"['Corona', 'COVID__19', 'Pandemic']",
2020-06-23 14:57:36,"b'An Unicef report also flags the negative impact of the virus-related disruption to vaccination, nutrition and other vital health services https://t.co/K4kRErPRsd'",[],
2020-06-23 14:36:13,b'An estimated 120 million children living in South Asian countries could slip into poverty within the next six months due to the COVID-19 crisis.  https://t.co/7TuMvQqc2U',[],
2020-06-23 14:25:31,"b'In worst-case scenario, South Asia, including India, could see additional deaths of as many as 881,000 children aged 5 or under and that of 36,000 mothers over the next twelve months. The bulk of these deaths would occur in India and Pakistan. @PTI_News https://t.co/PZQcsPCRqY'",[],"Place(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, id='2e6064382c71b343', url='https://api.twitter.com/1.1/geo/id/2e6064382c71b343.json', place_type='city', name='Noida', full_name='Noida, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, type='Polygon', coordinates=[[[77.302126, 28.443981], [77.695326, 28.443981], [77.695326, 28.647131], [77.302126, 28.647131]]]), attributes={})"
2020-06-23 14:12:30,"b'""More than 15,00,000 children in UP, India\xc2\xa0missed their vaccination doses\xc2\xa0due to the nationwide lockdown to curb spread of COVID-19 881,000 children of age &lt;5 may die in 1 year The bulk of these deaths would occur in India n Pakistan"" #ActNow @narendramodi https://t.co/4tb3hwnHkA https://t.co/m6Tf6dEvyz'",['ActNow'],
2020-06-23 13:49:32,"b'Urgent action needed to safeguard futures of 600 million South Asian children  including India, threatened by COVID-19: UNICEF https://t.co/lyIOTwW2Gu'",[],
2020-06-23 12:56:47,b'UNICEF India along with govt &amp; partners have reached out to people with lifesaving assistance in multiple states. #COVID19 #COVID__19 #Covid_19 #COVID #UNICEF #SouthAsia #JeanGough #foreverychild @UNICEF @UNICEFIndia @DrYasminAHaque  https://t.co/nG2KsFRjLM',"['COVID19', 'COVID__19', 'Covid_19', 'COVID', 'UNICEF', 'SouthAsia', 'JeanGough', 'foreverychild']",
